question	answer	question_seg	question_seg_stop
国有主体参与上市公司股份协议转让有哪些特殊要求？	根据我国国有资产管理的有关法律规定，国有主体协议转让上市公司股份需要遵守国有资产监督管理部门的规定，并根据要求履行报批程序。相关法律法规主要有国务院国有资产监督管理委员会等制定的《国有股东转让所持上市公司股份管理暂行办法》、《国有单位受让上市公司股份管理暂行规定》，财政部制定的《金融企业国有资产转让管理办法》、《事业单位国有资产管理暂行办法》、《行政单位国有资产管理暂行办法》等。	['国有', '主体', '参与', '上市公司', '股份', '协议', '转让', '有', '哪些', '特殊要求']	 国有 主体 参与 上市公司 股份 协议 转让 特殊要求
在EzTrans上做PBU授权，报错提示失败，已达到最大授权PBU个数。	EzTrans（2016版）PBU最大授权个数为3，即同一个PBU最多允许其他3个交易单元下载本交易单元的报表和文件。	['在', '上', '做', '授权', '报错', '提示', '失败', '已', '达到', '最大', '授权', '个数']	 上 做 授权 报错 提示 失败 已 达到 最大 授权 个数
全天候测试环境固定收益平台交易端申报时返回1014，账户不存在，如何解读？	全天候测试环境同步生产环境2013年6月7日之前数据，账户不存在说明该账户是在2013年6月7日之后开通的，需要使用2013年6月7日之前开通的账户进行测试，若没有2013年6月7日之前开通的账户，请联系上海中登（021-68873900）进行办理。	['全天候', '测试环境', '固定', '收益', '平台', '交易', '端', '申报', '时', '返回', '账户', '不', '存在', '如何', '解读']	 全天候 测试环境 固定 收益 平台 交易 端 申报 时 返回 账户 不 存在 解读
全天候测试环境clpr03MMDD.txt文件何时生成？何时发送？	全天候测试环境中，当日9点左右通过BiTrans统一发送上一交易日clpr03MMDD.txt文件，实际上当日下午13点左右即可生成当日clpr03MMDD.txt文件，可以参考在相应存储网关手动直接获取。http://istock.stocom.net/wiki/service:simulation_test	['全天候', '测试环境', '文件', '何时', '生成', '何时', '发送']	 全天候 测试环境 文件 生成 发送
生产环境中赎回ETF返回废单，提示“735-ETF基金账号持股余额不足，投资者不能赎回”是什么原因导致的？	735-ETF基金帐号持股余额不足，投资者不能赎回，一般是由于发行方ETF账户持股余额不足导致的。	['生产', '环境', '中', '赎回', '返回', '废单', '提示', '基金', '账号', '持股', '余额', '不足', '投资者', '不能', '赎回', '是', '什么', '原因', '导致', '的']	 生产 环境 中 赎回 返回 废单 提示 基金 账号 持股 余额 不足 投资者 不能 赎回 原因 导致
股份协议转让的收费标准是什么？	本所按股份协议转让交易金额向转让双方收取经手费。相关费率参照本所公开交易市场交易经手费费率执行，目前的费率为万分之0.696。无成交金额或者每股成交金额低于每股面值的，按拟转让股份总面值收取经手费。单笔转让经手费不足一百元，按一百元收取；超过二十万元，按二十万元收取。股份协议转让双方向中国证券登记结算有限责任公司上海分公司申请办理转让股份过户时，还应按照有关规定缴纳过户费和印花税。	['股份', '协议', '转让', '的', '收费', '标准', '是', '什么']	 股份 协议 转让 收费 标准
产品基础信息文件cpxxMMDD.txt可转债代码部分是否提供正股标的代码？	产品基础信息文件cpxxMMDD.txt中未到转股期的可转债，不设置正股标的代码；到转股期的可转债会配置正股标的代码。	['产品', '基础', '信息', '文件', '可转债', '代码', '部分', '是否', '提供', '正股', '标的', '代码']	 产品 基础 信息 文件 可转债 代码 部分 是否 提供 正股 标的 代码
办理股份协议转让业务所需时间是多少？	本所对申请人的股份转让申请进行形式审核，符合规定的，自申请文件齐备后三个工作日内出具确认意见。	['办理', '股份', '协议', '转让', '业务', '所', '需', '时间', '是', '多少']	 办理 股份 协议 转让 业务 需 时间
外国投资者能否参与上市公司股份协议转让？	经商务部批准，外国投资者可以以战略投资的方式协议受让上市公司A股股份和未进行股权分置改革的上市公司的国有股或法人股。合格境外机构投资者在经批准的投资额度范围内，可以选择协议转让或受让上市公司A股股份。此外，外国投资者可以参照上市公司流通股协议转让的有关规定办理B股股份的协议转让。	['外国', '投资者', '能否', '参与', '上市公司', '股份', '协议', '转让']	 外国 投资者 能否 参与 上市公司 股份 协议 转让
投资者参与股票期权交易应关注哪些制度规范？	为规范股票期权市场秩序，防范市场风险，保护投资者合法权益，中国证券监督管理委员会、上海证券交易所、中国证券登记结算有限责任公司等分别发布了股票期权试点相关规章、规范性文件以及业务规则，投资者在参与交易之前，要予以重点关注。中国证券监督管理委员会发布的规章及规范性文件包括《股票期权交易试点管理办法》及配套指引《证券期货经营机构参与股票期权交易试点指引》。上海证券交易所、中国证券登记结算有限责任公司发布的业务规则包括《上海证券交易所股票期权试点交易规则》、《中国证券登记结算有限责任公司股票期权试点结算规则》、《上海证券交易所、中国证券登记结算有限责任公司股票期权试点风险控制管理办法》、《上海证券交易所股票期权试点投资者适当性管理指引》、《上海证券交易所股票期权试点做市商业务指引》、《上海证券交易所股票期权试点经纪合同示范文本》和《股票期权风险揭示书必备条款》。随着股票期权试点业务的开展，上海证券交易所、中国证券登记结算有限责任公司还将持续出台配套业务规则及业务指南，不断完善股票期权业务规则体系。投资者需要予以持续关注。	['投资者', '参与', '股票', '期权', '交易', '应', '关注', '哪些', '制度', '规范']	 投资者 参与 股票 期权 交易 应 关注 制度 规范
目前EzCS在全天候测试环境已开通哪些服务？	用户可以在全天候测试环境直接使用EzCS登录各平台进行订单委托申报，除此之外目前暂不提供数据的上传下载服务。行情、盘后数据及专项报送等仍从原有的CS地址进行登录。	['目前', '在', '全天候', '测试环境', '已', '开通', '哪些', '服务']	 目前 全天候 测试环境 已 开通 服务
质押券入库当天是否可以做融资回购交易？质押券出库当天是否可以直接卖出？	质押券入库当天可以做融资回购交易，质押券出库当天可以直接卖出。	['质押', '券', '入库', '当天', '是否', '可以', '做', '融资', '回购', '交易', '质押', '券', '出库', '当天', '是否', '可以', '直接', '卖出']	 质押 券 入库 当天 是否 做 融资 回购 交易 质押 券 出库 当天 是否 直接 卖出
行权指令合并申报中申报满足条件的认购合约和认沽合约，成分合约数量（张）和行权指令合并申报单位数量（个）应如何填写？	根据成分合约数量（张）应填写满足条件张数，行权指令合并申报单位数量（个）应填写满足条件个数。比如行权指令合并申报中申报满足条件的10张认购合约和10张认沽合约，即成分合约数量（张）应填写10张，行权指令合并申报单位数量（个）应填写10个。http://www.sse.com.cn/services/tradingservice/tradingtech/technical/development/	['行权', '指令', '合并', '申报', '中', '申报', '满足条件', '的', '认购', '合约', '和', '认沽', '合约', '成分', '合约', '数量', '张和行权', '指令', '合并', '申报', '单位', '数量', '个', '应', '如何', '填写']	 行权 指令 合并 申报 中 申报 满足条件 认购 合约 认沽 合约 成分 合约 数量 张和行权 指令 合并 申报 单位 数量 应 填写
EzCS是一个新的软件吗？	EzCS是为交易所内部交易系统提供统一的接入平台，通过Linux操作系统实现高性能的轻型通讯服务主机。	['是', '一个', '新', '的', '软件', '吗']	 新 软件
EzCS与上一代CS目前有什么区别？	目前EzCS处于一期阶段，特点为轻型化，功能上与现有生产环境CS无区别。	['与', '上', '一代', '目前', '有', '什么', '区别']	 上 一代 目前 区别
港股通平台在12:30到13:00之间如果有增强限价委托申报，上海证券交易所是如何处理此部分委托？	根据港交所交易规则，此时间段内只可申报撤单委托。如有增强限价委托申报，上海证券交易所将该笔委托做废单处理。	['港股', '通', '平台', '在', '到', '之间', '如果', '有', '增强', '限价', '委托', '申报', '上海证券交易所', '是', '如何', '处理', '此', '部分', '委托']	 港股 通 平台 到 之间 增强 限价 委托 申报 上海证券交易所 处理 部分 委托
